# Input,ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs
c1qb,"1,2,5,6-dibenzanthracene",C026486,53-70-3,C1QB,713,Mus musculus,10090,"1,2,5,6-dibenzanthracene results in decreased expression of C1QB mRNA",decreases^expression,26377693
c1qb,"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,C1QB,713,Mus musculus,10090,"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane inhibits the reaction [Testosterone deficiency results in increased expression of C1QB mRNA]",decreases^reaction|increases^expression,33848595
c1qb,"1,2-Dimethylhydrazine",D019813,540-73-8,C1QB,713,Mus musculus,10090,"1,2-Dimethylhydrazine results in increased expression of C1QB mRNA",increases^expression,22206623
c1qb,"1,2-Dimethylhydrazine",D019813,540-73-8,C1QB,713,Mus musculus,10090,"Folic Acid inhibits the reaction [1,2-Dimethylhydrazine results in increased expression of C1QB mRNA]",decreases^reaction|increases^expression,22206623
c1qb,"1,2-dithiol-3-thione",C049325,,C1QB,713,Rattus norvegicus,10116,"1,2-dithiol-3-thione results in decreased expression of C1QB mRNA",decreases^expression,19162173
c1qb,1-Naphthylisothiocyanate,D015058,551-06-4,C1QB,713,Homo sapiens,9606,[1-Naphthylisothiocyanate co-treated with Cholic Acids] affects the expression of C1QB mRNA,affects^cotreatment|affects^expression,27344345
c1qb,1-Naphthylisothiocyanate,D015058,551-06-4,C1QB,713,Rattus norvegicus,10116,1-Naphthylisothiocyanate results in increased expression of C1QB mRNA,increases^expression,25380136
c1qb,"2,2',4,4'-tetrabromodiphenyl ether",C511295,,C1QB,713,Rattus norvegicus,10116,"2,2',4,4'-tetrabromodiphenyl ether results in decreased expression of C1QB mRNA",decreases^expression,31826744
c1qb,"2,2,5,7,8-pentamethyl-1-hydroxychroman",C029141,950-99-2,C1QB,713,Rattus norvegicus,10116,"2,2,5,7,8-pentamethyl-1-hydroxychroman results in decreased expression of C1QB mRNA",decreases^expression,21920950
c1qb,"2,3',4,4',5-pentachlorobiphenyl",C070055,,C1QB,713,Mus musculus,10090,"2,3',4,4',5-pentachlorobiphenyl results in increased expression of C1QB mRNA",increases^expression,31388691
c1qb,"3,4,5,3',4'-pentachlorobiphenyl",C023035,57465-28-8,C1QB,713,Danio rerio,7955,"3,4,5,3',4'-pentachlorobiphenyl results in decreased expression of C1QB mRNA",decreases^expression,28973690
c1qb,"3,4,5,3',4'-pentachlorobiphenyl",C023035,57465-28-8,C1QB,713,Homo sapiens,9606,"3,4,5,3',4'-pentachlorobiphenyl results in decreased expression of C1QB mRNA",decreases^expression,23146750
c1qb,3-dinitrobenzene,C017906,99-65-0,C1QB,713,Rattus norvegicus,10116,3-dinitrobenzene results in increased expression of C1QB mRNA,increases^expression,21983209
c1qb,"4,4'-diaminodiphenylmethane",C009505,101-77-9,C1QB,713,Mus musculus,10090,"4,4'-diaminodiphenylmethane results in decreased expression of C1QB mRNA",decreases^expression,18648102
c1qb,"9,10-Dimethyl-1,2-benzanthracene",D015127,57-97-6,C1QB,713,Mus musculus,10090,"9,10-Dimethyl-1,2-benzanthracene affects the expression of C1QB mRNA",affects^expression,21785161
c1qb,A-83-01,C507011,,C1QB,713,Mus musculus,10090,[IGF1 protein co-treated with MM-589 co-treated with A-83-01 co-treated with PTC-209] results in decreased expression of C1QB mRNA,affects^cotreatment|decreases^expression,31023824
c1qb,acetamide,C030686,60-35-5,C1QB,713,Rattus norvegicus,10116,acetamide results in increased expression of C1QB mRNA,increases^expression,31881176
c1qb,Acetaminophen,D000082,103-90-2,C1QB,713,Mus musculus,10090,Acetaminophen affects the expression of C1QB mRNA,affects^expression,17562736
c1qb,Aflatoxin B1,D016604,1162-65-8,C1QB,713,Rattus norvegicus,10116,Aflatoxin B1 results in decreased expression of C1QB mRNA,decreases^expression,33354967
