Geneid	G01.xls	G02.xls	G03.xls	G04.xls	G05.xls	G06.XLS	G07.XLS	G09.XLS	G10.XLS	G11.XLS	G12.XLS	G13.XLS	G14.XLS	G15.XLS	G16.XLS	G17.XLS	G18.XLS
ERK1	1,4909745	1,530909	1,4722493	1,296875	1,919512	2,0483193	1,1972076	1,0970297	2,3642385	1,7644047	1,1513158	1,3500761	1,4436363	1,3138686	0,6571429	1,235294	1,1666666
tie	0,066787	0,08	0,07205453	0,052734375	0,15853658	0,2331933	0	0	0,13245033	0,04865557	0,13651316	0	0,36727273	0,10510948	0	0,058823526	0,05555556
CYP 2C	0	0	0	0	0	0	0,003490401	0,087128714	0,10198675	0	0,04276316	0	0	0,119708024	0,17142859	0,11764705	0
BLR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CL 100	0	0	0	0	0	0	0,09424083	0	0	0	0	0	0,17454545	0	0	0	0
MMP10	0	0	0	0	0	0	0	0	0,06887417	0	0	0,00152207	0,043636363	0	0,085714296	0	0
"DDR1; CAK; NEP; PTK3; RTK6; TRKE; EDDR1; MCK10; NTRK4; PTK3A"	0,9783393	1,3563635	1,8208374	1,421875	1,7195121	1,1722689	0,42931932	0	1,3456954	1,5416133	0,89802635	1,5479453	0,89454544	1,0291971	0,6	0,76470584	0,88888896
Pkr	2,574007	2,5636363	1,9259981	2,6054688	3,4439023	1,9978992	4,17801	2,580198	2,725828	3,3879642	2,5460527	3,5312026	5,4945455	3,6350365	2,4857144	2,2352939	1,8888891
PKCI-1	3,1462092	3,4490907	3,544304	2,46875	3,3560977	2,1176472	1,4485165	0,99603957	1,2635761	1,9052497	1,3108553	1,2070016	2,3454545	1,4364964	1,1714286	3,470588	4
RABGGTA	0,9548736	1,2563635	1,104187	1,3125	1,0829269	1,3970588	1,0959859	1,4950495	5,0953646	1,9820744	1,6184211	2,1171997	1,7854544	1,7284671	1,6857144	0,4705882	0,61111116
"MAPK11; P38B; SAPK2; p38-2; PRKM11; SAPK2B; p38Beta; P38BETA2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YWHAE	0,14079422	0,19818181	0,27848104	0,26367188	0,40975606	0,18067229	0,27225128	0,087128714	0,15364239	0,30985916	0,009868422	0,015220701	0,25454545	0,29343066	0,11428572	0	0,05555556
P/CAF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MADH5	0	0,07272727	0,0895813	0,083984375	0,102439016	0,05882353	0	0,04950495	0	0	0,065789476	0,060882803	0	0,04379562	0,02857143	0,058823526	0,05555556
POLG	0,21119131	0,5018182	0,42064267	0,0546875	0,26341462	0,014705882	0,3490401	0,087128714	0,011920529	0,17925736	0,044407897	0,238965	0,52363634	0,39416057	0	0,2352941	0,44444448
LIMK1	0,21841155	0,32	0	0	0,048780486	0	0,013961605	0	0	0,023047375	0	0	0	0	0	0	0
IL13RA2	0	0	0,19084713	0,26757812	0	0,027310925	0	0	0	0	0	0,02739726	0,025454544	0	0,14285715	0	0
hMSH6	0,31227434	0,33454543	0,26874393	0,15039062	0,43658534	0,27310926	0,2862129	0	0,07019868	0,14852753	0,039473686	0,3196347	0,12727273	0,329927	0,085714296	0,058823526	0,22222224
Wnt10B	0	0	0	0	0	0	0	0	0	0	0	0,2907154	0	0,1489051	0	0,29411763	0,11111112
Wnt10B	0,17148013	0	0,16358325	0	0,4341463	0,15756303	0,16055845	0,10891089	0,34966886	0	0,3700658	0,22070016	0,17090908	0,30364963	0,14285715	0,35294116	0,16666669
Dyrk4	0	0	0	0,076171875	0,002439024	0	0	0,16633663	0	0	0	0	0,39272726	0	0	0	0
KIP	0,35920575	0,46363634	0,6329114	0,43554688	0,77804875	0,4369748	0,49912736	0,48514852	0,21986756	0,32266328	0,25822368	0,17503805	0,53090906	0,36204377	0,17142859	0,41176468	0,44444448
IFNG	0,30324906	0,101818174	0,18111004	0,31054688	0,20243903	0,31932774	0,2687609	0,37623763	0,12980133	0,18950064	0,24671054	0,17503805	0,15272726	0,22773723	0,14285715	0,11764705	0,22222224
IFNA14	0,08122743	0,07272727	0	0,01171875	0	0	0	0	0,03178808	0	0,07401316	0	0	0	0	0	0
EPO	0	0	0	0	0	0,010504202	0	0	0	0	0	0,012176561	0	0	0	0	0
"CYP1A1; AHH; AHRR; CP11; P1-450; P450-C; P450DX"	0,4783393	0,3018182	0,20447907	0,33984375	0,20487803	0	0,05584642	0	0	0,18693984	0,32236844	0,34398785	0,021818181	0,17664234	0,05714286	0,11764705	0,11111112
"CYP1A1; AHH; AHRR; CP11; P1-450; P450-C; P450DX"	0,09205776	0,010909091	0	0	0	0,04621849	0,14310645	0	0	0,09987196	0,14144738	0,00152207	0,16727272	0,13576643	0	0,058823526	0,05555556
COL11A2	0,7635378	0,12545455	0,18889971	0,02734375	0,007317073	0	0,5514834	0	0,3960265	1,0448143	0,04605263	0	0,74181813	0,16058394	0,37142858	0	0
COL11A2	0	0	0	0	0	0,065126054	0	0	0	0,015364918	0	0	0	0	0	0	0
TOP3A	0,635379	0,45090905	0,51606625	0,38867188	0,57560974	0,3697479	0,38394412	0,118811876	0,29271525	0,45582587	0,3470395	0,4733638	0,52	0,36934304	0,2	0,2352941	0,2777778
TXK	0,12274367	0	0,009737099	0	0,15853658	0,031512607	0	0	0	0	0	0	0,11272726	0	0	0	0
Dyrk6	0,113718405	0,10545455	0	0,20117188	0,13902438	0,15546219	0	0,21584158	0,10728478	0,005121639	0,001644737	0	0,050909087	0,04671533	0	0	0
TOP1	1,1498194	1,1254545	1,4644595	1,3515625	0,98536587	1,8907564	0,71553224	0,44752476	0,21456955	0,57106274	0,23684211	0,46727553	0,67636365	0,49489054	0,54285717	0,6470588	0,8333334
SRPK1	0,10830324	0,3490909	0,08373905	0,1015625	0,13902438	0,13235295	0	0,14653465	0,09271523	0,09475032	0,032894738	0,053272452	0,025454544	0,097810216	0,11428572	0,058823526	0
IL8RB	0,51263535	0,5345454	0,72638756	0,5605469	0,69756097	0,76050425	0,3420593	0,5683168	0,65827817	0,57106274	1,0427632	0,8797565	1,1818181	0,7459854	0,71428573	0,58823526	0,61111116
IL8RB	0,28519854	0,32181817	0,06037001	0,27539062	0,29268292	0,21638657	0,5200697	0,029702969	0,034437086	0,37131882	0,08552632	0,01369863	0,1490909	0	0	0	0
TIMP3	1,8646208	2,0054545	1,7176242	1,7910156	2,22439	1,4852941	2,279232	1,1881188	0,57483447	1,2983356	0,73355263	0,63318115	1,88	0,72700727	1,5142858	1,1176469	1
TIMP3	5,01083	5,6745453	3,8111002	4,513672	3,907317	4,004202	5,0959854	2,7920792	3,2913907	3,403329	3,7532895	2,3348553	4,2836366	3,630657	4,914286	2,0588233	3,1666667
IL15	0	0,030909091	0	0,08203125	0	0,04411765	0,02792321	0	0	0	0,077302635	0	0	0	0	0	0,05555556
BAGE	0	0	0	0	0	0	0	0	0,060927153	0	0	0	0,10909091	0	0	0	0
interferon-gamma receptor alpha chain gene	0,18231046	0,6818182	0,6407011	0,45703125	0,51707315	0,3970588	0,11867364	0,025742574	0,01986755	0,21766965	0	0,02283105	0,32363635	0	0	0,29411763	0,7777778
HIF-1 alpha	0,83393496	0,8981818	1,3495619	0,7207031	0,8390244	1,2626051	0,78883064	0,44752476	0,39072847	0,48399487	0,38980266	0,98934555	0,6581818	1,0248175	0,2857143	0,99999994	1,2222223
THBS4	0,400722	0,10727273	0,13631938	0,068359375	0	0,39915967	0,06631762	0	0,13642384	0,4737516	0,14144738	0,3059361	0,101818174	0	0	0,2352941	0,05555556
Abi-2	0,08303248	0,1490909	0,2570594	0	0	0,065126054	0	0	0	0,017925736	0,09375	0,21308981	0	0	0	0,058823526	0
EPLG7	0,30505413	0,14363636	0,3446933	0,18945312	0,17560974	0	0	0,15247524	0,16026491	0,069142126	0,3157895	0,053272452	0,11636364	0	0	0	0
TIG1	0,27978337	0,061818182	0,5530672	0,26367188	0,22682926	0,11764706	0,17102966	0,2970297	0,05165563	0,3047375	0	0,024353122	0,07636363	0,010218978	0,48571432	0	0,11111112
RAD52	0	0	0	0	0,026829269	0,014705882	0,17801045	0,011881189	0	0	0	0,059360735	0	0	0	0,058823526	0
E2F5	0,34657037	0,31636363	0,28432328	0,28320312	0,23902439	0,23109244	0,15357766	0,33663365	0,087417215	0,08962868	0,2944079	0,11872147	0,15636364	0,33138686	0,31428573	0,29411763	0,3888889
RELA	0,05415162	0	0	0,0390625	0	0	0	0	0	0	0	0	0	0	0	0	0
RI58	0,25270757	0,3363636	0,21421617	0,27734375	0,07804878	0,19957983	0,31064567	0,33069307	0,13774835	0,1715749	0,16611843	0,15525115	0,12727273	0,28613138	0,11428572	0,058823526	0,2777778
"MST1; MSP; HGFL; NF15S2; D3F15S2; DNF15S2"	0,11913356	0,22727272	0,26095423	0,2578125	0	0	0,5549738	0	0,33774835	0	0	0,26331812	0	0,23357664	0,2	0,058823526	0,05555556
RXRG	0,14801443	0,17272727	0,09347615	0,19140625	0,16341463	0	0	0	0	0,15108836	0,077302635	0,08675799	0,23272727	0,11678832	0	0	0,05555556
RXRG	0,04873646	0	0	0	0	0,081932776	0,013961605	0	0,30596027	0	0	0	0	0,27737227	0,05714286	0,29411763	0,22222224
POU6F1	0,30505413	0,2763636	0,2083739	0,32421875	0,34878048	0,25210086	0,052356016	0,31485146	0,11523178	0,03841229	0,1332237	0,25114155	0,27272725	0,16058394	0,17142859	0,11764705	0,11111112
MART-1	0,003610108	0	0	0	0	0,031512607	0,062827215	0	0	0,007682459	0,029605264	0,012176561	0	0,020437956	0,02857143	0,058823526	0
MART-1	0,22382669	0,33454543	0,14216164	0,1640625	0,17560974	0,197479	0	0,03960396	0,07549669	0	0	0,024353122	0,34181815	0,14306569	0,02857143	0	0,05555556
NF-IL6-beta	2,7924185	4,9090905	3,6533594	2,5273438	4,590244	10,071428	6,945898	6,071287	9,411921	4,8937263	2,9868424	4,5433793	1,5381818	3,1620438	9,028572	4,4117646	2,277778
A1	0	0	0	0	0,012195122	0,10294118	0	0	0	0	0	0	0	0	0	0	0
RFC4	0	0	0	0	0	0	0	0,029702969	0	0	0	0	0	0	0	0	0
RFC4	0,2039711	0,2690909	0,19863681	0,17578125	0,38780487	0,2079832	0	0,035643563	0	0,16389245	0,08881579	0,036529683	0,09454545	0,10072993	0	0,17647058	0,33333337
IL16	0	0,04181818	0	0	0,11951219	0,10504202	0,03490401	0,047524754	0	0,16645327	0	0,024353122	0	0,05109489	0	0,058823526	0,05555556
CRABP-II	0,16425993	0	0,2259007	0,05859375	0,11219511	0	0,07678883	0	0,014569537	0,10243278	0	0	0,27999997	0	0	0	0,11111112
