File Name ()*			G01.xls	G02.xls	G03.xls	G04.xls	G05.xls	G06.XLS	G07.XLS	G09.XLS	G10.XLS	G11.XLS	G12.XLS	G13.XLS	G14.XLS	G15.XLS	G16.XLS	G17.XLS	G18.XLS
Rhythm ()*			sinus	sinus	sinus	sinus	sinus	af	af	af	af	af	sinus	sinus	sinus	af	af	sinus	sinus
EF (%)			49	48	61	71	33	78	55	68	66	37	65	80	67	70	57,5	50	60
Affy_ID	Common name	Genbank	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized	Normalized
1000_at	ERK1	X60188	1,4909745	1,530909	1,4722493	1,296875	1,919512	2,0483193	1,1972076	1,0970297	2,3642385	1,7644047	1,1513158	1,3500761	1,4436363	1,3138686	0,6571429	1,235294	1,1666666
1001_at	tie	X60957	0,066787	0,08	0,07205453	0,052734375	0,15853658	0,2331933	0	0	0,13245033	0,04865557	0,13651316	0	0,36727273	0,10510948	0	0,058823526	0,05555556
1002_f_at	CYP 2C	X65962	0	0	0	0	0	0	0,003490401	0,087128714	0,10198675	0	0,04276316	0	0	0,119708024	0,17142859	0,11764705	0
1003_s_at	BLR1	X68149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1004_at	BLR1	X68149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1005_at	CL 100	X68277	0	0	0	0	0	0	0,09424083	0	0	0	0	0	0,17454545	0	0	0	0
1006_at	MMP10	X07820	0	0	0	0	0	0	0	0	0,06887417	0	0	0,00152207	0,043636363	0	0,085714296	0	0
1007_s_at	"DDR1; CAK; NEP; PTK3; RTK6; TRKE; EDDR1; MCK10; NTRK4; PTK3A"	U48705	0,9783393	1,3563635	1,8208374	1,421875	1,7195121	1,1722689	0,42931932	0	1,3456954	1,5416133	0,89802635	1,5479453	0,89454544	1,0291971	0,6	0,76470584	0,88888896
1008_f_at	Pkr	U50648	2,574007	2,5636363	1,9259981	2,6054688	3,4439023	1,9978992	4,17801	2,580198	2,725828	3,3879642	2,5460527	3,5312026	5,4945455	3,6350365	2,4857144	2,2352939	1,8888891
1009_at	PKCI-1	U51004	3,1462092	3,4490907	3,544304	2,46875	3,3560977	2,1176472	1,4485165	0,99603957	1,2635761	1,9052497	1,3108553	1,2070016	2,3454545	1,4364964	1,1714286	3,470588	4
100_g_at	RABGGTA	Y08200	0,9548736	1,2563635	1,104187	1,3125	1,0829269	1,3970588	1,0959859	1,4950495	5,0953646	1,9820744	1,6184211	2,1171997	1,7854544	1,7284671	1,6857144	0,4705882	0,61111116
1010_at	"MAPK11; P38B; SAPK2; p38-2; PRKM11; SAPK2B; p38Beta; P38BETA2"	U53442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1011_s_at	YWHAE	U54778	0,14079422	0,19818181	0,27848104	0,26367188	0,40975606	0,18067229	0,27225128	0,087128714	0,15364239	0,30985916	0,009868422	0,015220701	0,25454545	0,29343066	0,11428572	0	0,05555556
