,Sample0,Sample36,Sample44,Sample49,Sample86,Sample91,Sample100,Sample105,Sample118,Sample124,Sample127,Sample139,Sample140,Sample143,Sample148,Sample156,Sample171,Sample176,Sample181,Sample196,Sample201,Sample214,Sample215,Sample231,Sample237,Sample248,Sample258,Sample265,Sample274,Sample285
sexFemale,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
MDS1,0.0005306245,0.4070962034,0.2359052146,0.1619472449,-0.1150411066,-0.11721335470000001,-0.2188869529,0.2391010565,-0.0366793886,0.17233338739999998,-0.0372755939,-0.2115994166,-0.1486302039,-0.0521585628,-0.051994970099999996,-0.0668467837,-0.083239665,-0.1454688025,0.044821685199999996,0.11802479630000001,0.13396980990000001,-0.1210627356,-0.0853023636,0.0633680963,-0.0390739513,-0.1353739336,-0.075782394,0.2728664808,-0.1062947534,-0.0020396673000000003
MDS2,-0.12750785,0.021152362999999997,0.060824153,0.127324709,-0.0027,-0.077018868,0.015505656000000001,-0.106976654,-0.06847779799999999,-0.178583455,-0.057739020999999995,0.020965418,0.17616476600000003,-0.353658002,-0.173892852,0.18838642,-0.09052769199999999,-0.002293608,0.06674153599999999,0.09516540400000001,-0.08472224,-0.143901705,0.175116119,0.341923498,0.10112967699999999,0.027061291,0.11593948800000001,-0.017545914,-0.039876104,-0.007978736
sv1,-0.008245687600000001,0.0818422908,-0.1440747145,-0.14051373779999998,-0.11512797710000001,-0.0761519457,-0.10098961529999999,0.19125836300000001,-0.155602931,0.08911869050000001,-0.030353437999999996,-0.09201755,0.0002335191,0.2879918071,0.024635006600000002,-0.11518674289999999,-0.4130106878,-0.2263274361,0.0441693104,0.09274366380000001,0.2874076108,0.059044343099999994,0.1300496646,0.32789412079999997,0.0434361755,0.19644930260000001,-0.2737785974,-0.2751364617,-0.027103755499999996,0.33734740979999994
sv2,-0.023056196,0.349498884,-0.034240334,-0.158440199,0.031982795,-0.006709023000000001,-0.005995745,0.21695071100000002,-0.138182628,-0.17164258300000002,0.25671866,-0.12225018,-0.032013599,-0.009623203,-0.08885146099999999,-0.166033072,-0.054795049000000005,-0.090421326,-0.0041973240000000005,-0.05597562,-0.08497101300000001,-0.061783265999999996,0.031373423,-0.0553271,-0.11376967699999999,0.512197014,0.033148316000000004,0.484771511,-0.220412773,-0.217949943
sv3,0.08534801,-0.30069967,-0.145509,-0.19520494,-0.10283754,0.17622155,-0.07121842,0.04342824,0.16784436,-0.38712173,0.19244184,0.15590631,0.08367136,0.05118809,-0.09853733,0.06658666,-0.1847979,0.32507341,0.26077641,0.15096532,-0.01915919,-0.07803247,0.01360719,0.05725315,0.03540377,0.2039243,-0.10861237,-0.22184938,0.2175398,-0.37359983
sv4,-0.19030060699999998,-0.117025151,-0.19325606399999998,0.41415135299999994,-0.23665027,0.027038947999999997,-0.028878904,0.0034528109999999996,0.126582204,0.262389599,0.107387375,-0.06589739900000001,0.164745806,0.113874772,-0.377868501,0.296836133,0.08034757,-0.05477437,-0.000763382,0.110293363,0.16596765300000002,-0.256272314,-0.045553464,0.11848218199999999,-0.212702662,-0.011986578000000001,-0.252038637,0.234424352,-0.07506747400000001,-0.106938344
sv5,0.2105682603,-0.0855880259,-0.1510152984,-0.0812656034,-0.40488408719999996,-0.3804758514,0.2322312453,-0.14509637720000002,-0.08142249900000001,-0.0431925538,-0.0006581428,0.198613583,-0.0863956011,0.1531027018,-0.1354444242,-0.0107317459,0.1122579917,0.0938770664,0.12112511769999999,0.0293813664,0.0297052173,0.2725005927,0.38125913570000003,0.0393709338,0.017881531399999998,-0.1228065851,0.16798869309999998,0.09025576560000001,-0.34930800100000003,-0.0718344058
sv6,-0.012586441,-0.133673361,-0.20348177,-0.075238735,0.139851732,-0.006719298,0.154631341,0.09683180599999999,-0.015371573000000001,0.018130128,-0.598362214,0.38152484299999995,-0.16715501,0.00358196,0.034149442,0.060258672,-0.21486213,0.192482977,-0.167701476,0.0058329969999999995,0.040496995,-0.038495187,-0.021929641,0.023407161,-0.139224081,0.12180907199999999,-0.092837788,0.39760555,0.158990569,0.05805346
AtrialRhythm,Yes AF/AF Rhythm,No AF/Sinus Rhythm,Yes AF/AF Rhythm,Yes AF/AF Rhythm,Yes AF/Sinus Rhythm,Yes AF/AF Rhythm,Yes AF/AF Rhythm,No AF/Sinus Rhythm,Yes AF/AF Rhythm,No AF/Sinus Rhythm,No AF/Sinus Rhythm,Yes AF/AF Rhythm,Yes AF/Sinus Rhythm,Yes AF/AF Rhythm,Yes AF/Sinus Rhythm,No AF/Sinus Rhythm,Yes AF/Sinus Rhythm,Yes AF/AF Rhythm,Yes AF/AF Rhythm,Yes AF/AF Rhythm,No AF/Sinus Rhythm,Yes AF/Sinus Rhythm,No AF/Sinus Rhythm,Yes AF/Sinus Rhythm,No AF/Sinus Rhythm,No AF/Sinus Rhythm,Yes AF/AF Rhythm,Yes AF/Sinus Rhythm,Yes AF/Sinus Rhythm,Yes AF/Sinus Rhythm
