name	length	run_2785_s_1_withindex_sequence.txt_AATTCAT	run_2785_s_1_withindex_sequence.txt_AGGCGAA	run_2785_s_1_withindex_sequence.txt_CTGCAAT	run_2785_s_1_withindex_sequence.txt_GGAGTCC	run_2785_s_1_withindex_sequence.txt_GTAAAAA	run_2785_s_1_withindex_sequence.txt_TGGCATA
5_8S_rRNA	758	0	2	3	1	0	0
5S_rRNA	1844	3	6	20	8	24	3
7SK	1870	17	27	4	22	5	16
A1BG	4006	1	2	4	6	7	6
A1BG-AS1	2793	5	1	2	2	2	0
A1CF	9603	11	18	59	29	62	15
A2M	6384	537	298	233	1055	192	707
A2M-AS1	2192	26	19	17	46	34	58
A2ML1	7303	7	18	66	25	84	11
A2ML1-AS1	452	0	0	0	1	1	0
A2ML1-AS2	386	2	0	2	0	4	0
A2MP1	4657	17	21	34	37	39	31
A3GALT2	1023	0	1	0	0	0	0
A4GALT	2943	102	98	12	85	17	83
A4GNT	1771	1	0	4	2	9	0
AA06	632	0	0	2	0	6	0
AAAS	4138	124	102	42	158	67	132
AACS	16094	103	84	58	112	67	84
AACSP1	3380	1	1	7	3	29	0
AADAC	1668	2	0	1	0	4	0
AADACL2	5071	1	8	25	3	15	0
AADACL2-AS1	635	0	1	3	0	1	0
AADACL3	4049	1	4	24	6	23	1
AADACL4	1575	0	0	8	0	13	1
AADACP1	2012	0	5	9	4	9	0
AADAT	2981	16	11	9	15	13	9
AAED1	3084	15	9	27	21	17	28
AAGAB	3833	42	32	34	30	25	16
AAK1	23608	2785	2598	948	5073	806	5853
AAMDC	1943	48	35	30	74	26	65
AAMP	3140	44	23	12	32	9	20
AANAT	2190	1	2	13	5	5	0
AAR2	3101	44	48	13	48	25	39
AARD	2412	1	2	10	2	12	0
AARS2	4298	37	46	16	25	21	39
AARS	4498	115	84	39	106	49	80
AARSD1	3704	34	26	16	23	12	18
AARSP1	453	2	4	3	0	6	0
AASDH	4654	54	39	32	47	20	48
AASDHPPT	6183	41	47	68	60	45	45
AASS	4591	260	196	159	204	138	206
AATBC	4874	20	18	4	12	10	7
AATF	4714	75	47	43	72	38	31
AATK	6225	1	1	1	6	0	3
AATK-AS1	1803	0	0	0	0	0	0
AB015752.1	578	14	10	21	15	19	4
ABALON	1903	14	13	9	9	6	2
ABAT	9744	94	92	81	76	93	60
ABBA01000935.2	838	0	0	1	0	1	0
ABBA01006766.1	294	0	4	5	1	7	0
ABBA01006766.2	169	0	0	0	0	4	0
ABBA01031660.1	756	0	1	5	0	2	1
ABBA01031661.1	1253	0	4	4	0	7	0
ABBA01031663.1	790	4	7	1	5	11	2
ABBA01031674.1	728	1	6	14	2	15	1
ABBA01040607.1	321	0	1	1	0	0	0
ABCA10	8405	74	53	55	85	47	51
ABCA1	11350	244	237	264	639	230	574
ABCA11P	2790	13	8	11	12	10	17
ABCA12	9416	5	17	100	43	98	0
ABCA13	19074	10	24	100	35	92	1
ABCA17P	6574	4	4	22	5	19	2
ABCA2	11514	77	73	26	101	17	56
ABCA3	7804	55	22	26	70	27	28
ABCA4	8201	0	11	59	10	72	0
ABCA5	13158	492	397	125	533	123	526
ABCA6	14151	193	121	164	256	168	178
ABCA7	8367	9	8	5	23	13	10
ABCA8	11243	304	245	154	458	157	402
ABCA9	9139	115	64	71	151	89	53
ABCA9-AS1	2990	3	3	11	3	6	1
ABCB10	4256	44	28	28	46	28	51
ABCB10P1	2181	0	0	1	0	14	0
ABCB10P3	2166	0	0	0	0	0	0
ABCB10P4	2184	0	0	1	0	0	0
ABCB11	5151	3	9	38	9	40	1
ABCB1	5806	8	15	42	7	33	3
ABCB4	7494	120	129	97	70	89	102
ABCB5	9257	4	8	40	12	26	2
ABCB6	5205	8	15	10	14	5	12
ABCB7	2970	99	92	60	118	53	100
ABCB8	9336	84	79	26	114	29	94
ABCB9	13291	21	10	18	22	19	13
ABCC10	8083	51	57	40	64	37	68
ABCC11	7245	3	14	57	9	79	3
ABCC12	7456	4	3	45	12	53	0
ABCC13	10722	9	11	73	19	67	2
ABCC1	7575	294	263	66	296	68	256
