Geneid	HS13
ENSG00000160072	864
ENSG00000279928	6
ENSG00000228037	9
ENSG00000142611	325
ENSG00000284616	0
ENSG00000157911	387
ENSG00000269896	378
ENSG00000228463	133
ENSG00000260972	0
ENSG00000224340	4
ENSG00000226374	0
ENSG00000229280	0
ENSG00000142655	552
ENSG00000232596	0
ENSG00000235054	0
ENSG00000231510	0
ENSG00000149527	18
ENSG00000284739	0
ENSG00000171621	409
ENSG00000272235	30
ENSG00000284694	0
ENSG00000224387	0
ENSG00000285629	0
ENSG00000173673	0
ENSG00000142583	29
ENSG00000284674	0
ENSG00000224338	0
ENSG00000116786	3840
ENSG00000287727	85
ENSG00000286448	0
ENSG00000284703	0
ENSG00000226457	33
ENSG00000173614	561
ENSG00000215720	16
ENSG00000241326	0
ENSG00000233623	15
ENSG00000162592	24
ENSG00000116254	197
ENSG00000204624	7
ENSG00000142606	6
ENSG00000225931	15
ENSG00000171729	133
ENSG00000279457	515
ENSG00000162571	8
ENSG00000229393	0
ENSG00000037637	1216
ENSG00000287586	1
ENSG00000159423	928
ENSG00000227169	0
ENSG00000283356	0
ENSG00000011021	1886
ENSG00000142615	0
ENSG00000215704	6
ENSG00000157916	1624
ENSG00000157881	643
ENSG00000238290	6
ENSG00000225387	0
ENSG00000048707	10486
ENSG00000225196	0
ENSG00000162444	1256
ENSG00000279625	0
ENSG00000180758	581
ENSG00000184677	1930
ENSG00000288398	157
ENSG00000224621	3
ENSG00000285833	0
ENSG00000131697	640
ENSG00000284692	0
ENSG00000284745	0
ENSG00000280222	39
ENSG00000285945	0
ENSG00000197921	35
ENSG00000233755	0
ENSG00000233929	135
ENSG00000271742	1
ENSG00000234166	0
ENSG00000235282	68
ENSG00000055070	1644
ENSG00000175087	163
ENSG00000157191	1138
ENSG00000230035	5
ENSG00000225643	4
ENSG00000284666	0
ENSG00000228943	0
ENSG00000234397	0
ENSG00000284309	4
ENSG00000162511	568
ENSG00000158014	59
ENSG00000204138	1534
ENSG00000233419	0
ENSG00000235263	0
ENSG00000228176	1
ENSG00000231251	0
ENSG00000142675	63
ENSG00000197245	120
ENSG00000116237	2038
ENSG00000130772	215
ENSG00000215899	0
ENSG00000271398	8
ENSG00000225011	2
ENSG00000235069	0
ENSG00000284676	0
ENSG00000237058	0
ENSG00000233399	0
ENSG00000090020	1153
ENSG00000157978	597
ENSG00000226944	11
ENSG00000130770	2689
ENSG00000229044	4
ENSG00000162512	3028
ENSG00000158006	385
ENSG00000214812	202
ENSG00000126698	686
ENSG00000229447	19
ENSG00000229607	0
ENSG00000130766	234
ENSG00000168528	78
ENSG00000196581	15
ENSG00000169403	128
ENSG00000084628	3
ENSG00000060688	450
ENSG00000171612	102
ENSG00000270927	0
ENSG00000188910	18
ENSG00000230523	2
ENSG00000116138	931
ENSG00000158161	1200
ENSG00000142684	0
ENSG00000121769	23757
ENSG00000142627	782
ENSG00000284668	0
ENSG00000233234	0
ENSG00000142632	75
ENSG00000234593	10
ENSG00000158292	406
ENSG00000270605	86
ENSG00000189337	389
ENSG00000235084	564
ENSG00000235143	0
ENSG00000225478	0
ENSG00000225077	8
ENSG00000028137	1221
ENSG00000204464	29
ENSG00000233372	0
ENSG00000283259	0
ENSG00000284543	5
ENSG00000130939	3979
ENSG00000175147	47
ENSG00000127472	2310
ENSG00000060656	1548
ENSG00000163867	302
ENSG00000232768	14
ENSG00000230214	0
ENSG00000189280	2
ENSG00000134698	2425
ENSG00000134690	71
ENSG00000272420	7
ENSG00000132881	164
ENSG00000273274	11
ENSG00000116251	1322
ENSG00000272510	1
ENSG00000158286	3755
ENSG00000236648	0
ENSG00000232273	14
ENSG00000009709	0
ENSG00000287396	0
ENSG00000223589	0
ENSG00000158008	178
ENSG00000130940	1589
ENSG00000116771	16
ENSG00000237301	2
ENSG00000163879	235
ENSG00000227527	14
ENSG00000116954	166
ENSG00000228589	504
ENSG00000163873	98
ENSG00000117215	1
ENSG00000196449	98
ENSG00000230163	0
ENSG00000227538	0
ENSG00000236500	1
ENSG00000044012	0
ENSG00000179051	727
ENSG00000215895	525
ENSG00000284650	1
ENSG00000237329	12
ENSG00000236948	1
ENSG00000126067	1097
ENSG00000274944	7
ENSG00000132906	327
ENSG00000197312	2229
ENSG00000284748	0
ENSG00000272078	122
ENSG00000173660	1593
ENSG00000224592	2
ENSG00000233728	0
ENSG00000230451	0
ENSG00000231606	3
ENSG00000215900	1130
ENSG00000284632	0
ENSG00000241014	23
ENSG00000054118	4055
ENSG00000254553	0
ENSG00000284653	0
ENSG00000237749	13
ENSG00000276747	2
ENSG00000284705	0
ENSG00000228776	0
ENSG00000159339	2
ENSG00000197982	428
ENSG00000261781	0
ENSG00000183317	8
ENSG00000183386	350
ENSG00000284743	0
ENSG00000158315	101
ENSG00000204084	1771
ENSG00000186973	1
ENSG00000146463	2310
ENSG00000183520	553
ENSG00000271741	0
ENSG00000214141	2
ENSG00000142686	457
ENSG00000224751	65
ENSG00000117148	0
ENSG00000230585	55
ENSG00000117000	905
ENSG00000284989	0
ENSG00000231630	0
ENSG00000092853	137
ENSG00000255811	2
ENSG00000134697	971
ENSG00000187513	787
ENSG00000238145	2
ENSG00000225142	0
ENSG00000230138	3
ENSG00000223390	6
ENSG00000284720	0
ENSG00000225671	74
ENSG00000116151	320
ENSG00000226147	0
ENSG00000006555	9
ENSG00000236111	0
ENSG00000066056	4514
ENSG00000214114	221
ENSG00000116544	37
ENSG00000231900	0
ENSG00000236723	9
ENSG00000232467	33
ENSG00000117016	517
ENSG00000121310	4282
ENSG00000169213	4
ENSG00000163866	814
ENSG00000225779	4
ENSG00000284601	0
ENSG00000237130	8
ENSG00000143001	0
ENSG00000227416	6
ENSG00000232335	0
ENSG00000260971	67
ENSG00000259832	0
ENSG00000284696	0
ENSG00000238242	0
ENSG00000285839	0
ENSG00000237290	0
ENSG00000232762	5
ENSG00000117419	1129
ENSG00000162384	795
ENSG00000162391	179
ENSG00000174348	1276
ENSG00000117859	2540
ENSG00000228121	79
ENSG00000253313	1
ENSG00000162396	104
ENSG00000203995	11
ENSG00000284686	36
ENSG00000162378	2903
ENSG00000233079	0
ENSG00000259818	13
ENSG00000229444	5
ENSG00000240563	4
ENSG00000234318	0
ENSG00000284773	17
ENSG00000234481	0
ENSG00000117862	164
ENSG00000235612	1
ENSG00000228369	6
ENSG00000183431	517
ENSG00000227485	0
ENSG00000224609	27
ENSG00000235545	5
ENSG00000236646	248
ENSG00000232198	1
ENSG00000238063	0
ENSG00000227104	1
ENSG00000243725	45
ENSG00000171872	1
ENSG00000162407	3055
ENSG00000285079	0
ENSG00000169218	10
ENSG00000163877	402
ENSG00000228929	3320
ENSG00000224570	22
ENSG00000224980	8
ENSG00000278967	13
ENSG00000157184	509
ENSG00000198815	1924
ENSG00000134744	2163
ENSG00000233910	0
ENSG00000287703	0
ENSG00000283039	1
ENSG00000229032	0
ENSG00000229294	14
ENSG00000232993	0
ENSG00000234088	0
ENSG00000236973	29
ENSG00000277397	0
ENSG00000271200	14
ENSG00000235446	0
ENSG00000261196	1
ENSG00000162385	184
ENSG00000234264	1
ENSG00000242391	0
ENSG00000223883	0
ENSG00000284808	4
ENSG00000237227	0
ENSG00000275350	0
ENSG00000116652	52
ENSG00000123080	388
ENSG00000285778	0
ENSG00000233407	0
ENSG00000225675	1
ENSG00000237622	0
ENSG00000162598	3
ENSG00000280317	0
ENSG00000162415	193
ENSG00000162600	572
ENSG00000116704	489
ENSG00000227644	0
ENSG00000157193	85
ENSG00000116205	516
ENSG00000198841	20
ENSG00000116212	327
ENSG00000234204	0
ENSG00000233099	0
ENSG00000233994	455
ENSG00000233973	0
ENSG00000237552	0
ENSG00000132854	7
ENSG00000227556	0
ENSG00000162607	548
ENSG00000233602	48
ENSG00000233271	0
ENSG00000285954	1
ENSG00000233333	4
ENSG00000154027	62
ENSG00000234108	0
ENSG00000232676	14
ENSG00000225167	0
ENSG00000213579	2
ENSG00000137960	123
ENSG00000237852	3
ENSG00000116745	3
ENSG00000132855	17
ENSG00000285407	0
ENSG00000272855	2
ENSG00000270549	3
ENSG00000237163	0
ENSG00000229636	0
ENSG00000116675	1025
ENSG00000162433	2172
ENSG00000213625	1784
ENSG00000227207	5
ENSG00000227016	0
ENSG00000233664	0
ENSG00000158966	442
ENSG00000213703	11
ENSG00000203965	419
ENSG00000223479	0
ENSG00000233674	12
ENSG00000153898	48
ENSG00000117069	41
ENSG00000125703	195
ENSG00000285041	1
ENSG00000285808	0
ENSG00000229440	0
ENSG00000234144	6
ENSG00000213540	213
ENSG00000277670	0
ENSG00000227466	2
ENSG00000154007	1
ENSG00000230498	5
ENSG00000285782	8
ENSG00000162618	1302
ENSG00000224493	4
ENSG00000131233	7
ENSG00000272371	5
ENSG00000287647	2
ENSG00000229225	0
ENSG00000230863	88
ENSG00000287224	7
ENSG00000225598	0
ENSG00000286455	0
ENSG00000225087	0
ENSG00000280378	33
ENSG00000188786	577
ENSG00000230053	34
ENSG00000137941	1143
ENSG00000224326	0
ENSG00000286548	23
ENSG00000066135	639
ENSG00000230027	0
ENSG00000233061	67
ENSG00000272094	5
ENSG00000228853	2
ENSG00000215874	0
ENSG00000232453	30
ENSG00000260386	0
ENSG00000284895	0
ENSG00000117174	387
ENSG00000237413	3
ENSG00000184313	429
ENSG00000284645	0
ENSG00000225605	2
ENSG00000225446	3
ENSG00000288543	4
ENSG00000122420	26
ENSG00000284240	10
ENSG00000236290	0
ENSG00000143013	882
ENSG00000226084	2311
ENSG00000134748	569
ENSG00000142892	799
ENSG00000219102	7
ENSG00000184005	268
ENSG00000230953	115
ENSG00000287743	3
ENSG00000229332	0
ENSG00000227937	0
ENSG00000229752	0
ENSG00000237505	25
ENSG00000285462	0
ENSG00000233216	2
ENSG00000197273	0
ENSG00000226804	0
ENSG00000285325	11
ENSG00000230728	23
ENSG00000232846	17
ENSG00000230787	14
ENSG00000116641	1327
ENSG00000223920	1
ENSG00000237453	0
ENSG00000172260	537
ENSG00000285473	0
ENSG00000237959	0
ENSG00000231364	9
ENSG00000234578	0
ENSG00000117480	398
ENSG00000137944	162
ENSG00000229505	2
ENSG00000228187	96
ENSG00000285201	0
ENSG00000182183	6
ENSG00000236407	0
ENSG00000271949	0
ENSG00000227062	0
ENSG00000067334	991
ENSG00000235011	0
ENSG00000235673	1
ENSG00000226938	0
ENSG00000213559	0
ENSG00000287587	0
ENSG00000142949	625
ENSG00000116133	369
ENSG00000232882	151
ENSG00000171502	691
ENSG00000162399	0
ENSG00000116157	214
ENSG00000143036	163
ENSG00000232672	0
ENSG00000230817	0
ENSG00000065243	1689
ENSG00000226759	7
ENSG00000226960	0
ENSG00000234080	5
ENSG00000237899	3
ENSG00000223905	13
ENSG00000227290	14
ENSG00000229486	0
ENSG00000282898	1
ENSG00000285409	0
ENSG00000231090	1
ENSG00000117528	1357
ENSG00000271723	29
ENSG00000172339	162
ENSG00000036549	1596
ENSG00000287724	0
ENSG00000058799	496
ENSG00000225191	6
ENSG00000287870	1
ENSG00000235563	0
ENSG00000232048	0
ENSG00000232857	3
ENSG00000273637	0
ENSG00000203985	0
ENSG00000228838	1
ENSG00000283761	29
ENSG00000189433	2
ENSG00000230759	0
ENSG00000231866	3
ENSG00000179178	12
ENSG00000142700	0
ENSG00000285525	0
ENSG00000236098	10
ENSG00000233514	122
ENSG00000127124	431
ENSG00000266993	24
ENSG00000223675	1
ENSG00000162604	676
ENSG00000229316	0
ENSG00000116171	2582
ENSG00000287406	0
ENSG00000225767	33
ENSG00000234099	1
ENSG00000137936	628
ENSG00000235308	9
ENSG00000232752	0
ENSG00000235829	1
ENSG00000143032	0
ENSG00000226745	327
ENSG00000178028	1305
ENSG00000280040	2
ENSG00000168710	2258
ENSG00000117519	3067
