Geneid	HS18	HS19
ENSG00000000003	211	348
ENSG00000000005	5	9
ENSG00000000419	651	826
ENSG00000000457	330	534
ENSG00000000460	115	168
ENSG00000000938	69	94
ENSG00000000971	1244	1956
ENSG00000001036	559	601
ENSG00000001084	545	667
ENSG00000001167	707	933
ENSG00000001460	115	216
ENSG00000001461	1249	1578
ENSG00000001497	858	1141
ENSG00000001561	765	833
ENSG00000001617	279	377
ENSG00000001626	17	15
ENSG00000001629	1545	1969
ENSG00000001630	102	107
ENSG00000001631	634	1026
ENSG00000002016	493	791
ENSG00000002079	17	36
ENSG00000002330	310	560
ENSG00000002549	862	1367
ENSG00000002586	0	0
ENSG00000002587	112	311
ENSG00000002726	12	13
ENSG00000002745	1	9
ENSG00000002746	1	4
ENSG00000002822	77	109
ENSG00000002834	985	1776
ENSG00000002919	234	380
ENSG00000002933	744	321
ENSG00000003056	1387	1357
ENSG00000003096	332	329
ENSG00000003137	395	374
ENSG00000003147	1640	1963
ENSG00000003249	43	57
ENSG00000003393	4319	3498
ENSG00000003400	304	595
ENSG00000003402	12114	19568
ENSG00000003436	1124	3188
ENSG00000003509	413	570
ENSG00000003756	2572	4137
ENSG00000003987	74	139
ENSG00000003989	2597	2615
ENSG00000004059	442	530
ENSG00000004139	205	375
ENSG00000004142	2041	2120
ENSG00000004399	3624	7346
ENSG00000004455	1908	3009
ENSG00000004468	76	350
ENSG00000004478	1024	1279
ENSG00000004487	1553	2335
ENSG00000004534	2773	3269
ENSG00000004660	276	417
ENSG00000004700	588	716
ENSG00000004766	624	993
ENSG00000004776	176	398
ENSG00000004777	168	216
ENSG00000004779	2308	3836
ENSG00000004799	13604	15850
ENSG00000004809	0	1
ENSG00000004838	17	40
ENSG00000004846	0	21
ENSG00000004848	0	1
ENSG00000004864	369	568
ENSG00000004866	534	755
ENSG00000004897	1731	2136
ENSG00000004939	5	5
ENSG00000004948	5	18
ENSG00000004961	610	581
ENSG00000004975	664	946
ENSG00000005001	0	0
ENSG00000005007	2082	3176
ENSG00000005020	145	460
ENSG00000005022	1792	1758
ENSG00000005059	297	303
ENSG00000005073	0	1
ENSG00000005075	344	481
ENSG00000005100	400	528
ENSG00000005102	643	375
ENSG00000005108	205	600
ENSG00000005156	1053	1204
ENSG00000005175	385	555
ENSG00000005187	230	697
ENSG00000005189	109	151
ENSG00000005194	669	749
