Geneid	HS20	HS21
ENSG00000000003	240	313
ENSG00000000005	4	7
ENSG00000000419	763	830
ENSG00000000457	339	453
ENSG00000000460	110	166
ENSG00000000938	75	67
ENSG00000000971	1288	1404
ENSG00000001036	500	536
ENSG00000001084	583	671
ENSG00000001167	681	762
ENSG00000001460	146	187
ENSG00000001461	1588	1547
ENSG00000001497	771	1038
ENSG00000001561	923	1051
ENSG00000001617	306	315
ENSG00000001626	13	13
ENSG00000001629	1612	1756
ENSG00000001630	61	82
ENSG00000001631	657	865
ENSG00000002016	451	672
ENSG00000002079	23	35
ENSG00000002330	346	514
ENSG00000002549	993	1155
ENSG00000002586	1	1
ENSG00000002587	183	167
ENSG00000002726	10	35
ENSG00000002745	4	4
ENSG00000002746	6	6
ENSG00000002822	72	89
ENSG00000002834	1117	1422
ENSG00000002919	248	279
ENSG00000002933	231	539
ENSG00000003056	1337	1364
ENSG00000003096	326	305
ENSG00000003137	297	172
ENSG00000003147	1373	1717
ENSG00000003249	81	58
ENSG00000003393	2972	3092
ENSG00000003400	382	456
ENSG00000003402	12683	18312
ENSG00000003436	1606	1828
ENSG00000003509	486	433
ENSG00000003756	2554	3293
ENSG00000003987	81	200
ENSG00000003989	2363	2581
ENSG00000004059	427	462
ENSG00000004139	197	266
ENSG00000004142	2132	1924
ENSG00000004399	4458	5030
ENSG00000004455	2173	2830
ENSG00000004468	136	227
ENSG00000004478	898	1203
ENSG00000004487	1601	2113
ENSG00000004534	2549	3299
ENSG00000004660	314	403
ENSG00000004700	628	532
ENSG00000004766	688	872
ENSG00000004776	332	199
ENSG00000004777	141	201
ENSG00000004779	3047	3549
ENSG00000004799	4528	9425
ENSG00000004809	0	0
ENSG00000004838	33	28
ENSG00000004846	0	0
ENSG00000004848	0	0
ENSG00000004864	325	439
ENSG00000004866	497	708
ENSG00000004897	1671	2149
ENSG00000004939	3	1
ENSG00000004948	10	26
ENSG00000004961	728	711
ENSG00000004975	654	796
ENSG00000005001	1	1
ENSG00000005007	2041	2299
ENSG00000005020	227	302
ENSG00000005022	1748	1649
ENSG00000005059	139	261
ENSG00000005073	0	0
ENSG00000005075	430	492
ENSG00000005100	351	428
ENSG00000005102	342	429
ENSG00000005108	353	430
ENSG00000005156	826	1105
ENSG00000005175	417	516
ENSG00000005187	355	358
ENSG00000005189	138	133
ENSG00000005194	721	906
ENSG00000005206	668	850
ENSG00000005238	735	614
ENSG00000005243	662	664
ENSG00000005249	957	1266
ENSG00000005302	412	428
ENSG00000005339	3736	4946
ENSG00000005379	882	1189
ENSG00000005381	16	7
