gene	description	fisher_pvalue	mean_t	mean_lfc
COLQ	collagen like tail subunit of asymmetric acetylcholinesterase [Source:HGNC Symbol;Acc:HGNC:2226]	1.26612398793795e-09	3.81470335689687	1.09073087870914
ANGPTL2	angiopoietin like 2 [Source:HGNC Symbol;Acc:HGNC:490]	5.67313711897168e-09	2.76972858340249	0.403939045687249
LBH	LBH regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:29532]	5.67313711897168e-09	3.1998606095833	0.762558878555689
COL21A1	collagen type XXI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:17025]	1.12172045446123e-06	2.92476566075378	0.658303566611615
CACNA1G	calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]	2.38635487258762e-06	-2.85447302855779	-1.0744106696145
CRTAC1	cartilage acidic protein 1 [Source:HGNC Symbol;Acc:HGNC:14882]	2.38635487258762e-06	-2.4185535793042	-0.431753946419788
DHRS9	dehydrogenase/reductase 9 [Source:HGNC Symbol;Acc:HGNC:16888]	2.38635487258762e-06	2.43203180139867	0.492033426316828
GRM8	glutamate metabotropic receptor 8 [Source:HGNC Symbol;Acc:HGNC:4600]	2.38635487258762e-06	1.65762142702191	0.704012073972789
SLC6A6	solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]	2.38635487258762e-06	2.67400232009271	0.530222707053875
FGFR2	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]	2.38635487258762e-06	-2.19684796373209	-0.454144867933424
RASL11B	RAS like family 11 member B [Source:HGNC Symbol;Acc:HGNC:23804]	2.7806778544918e-06	2.10732871114952	0.39594585671953
IGFBP2	insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471]	3.1393764786882e-06	3.08849473279023	1.12745457138278
REC114	REC114 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:25065]	5.75585668469848e-06	-2.58064850133573	-0.379478558298245
RPL3L	ribosomal protein L3 like [Source:HGNC Symbol;Acc:HGNC:10351]	5.97118398055163e-06	2.60016570412907	0.470250986555918
PDE8B	phosphodiesterase 8B [Source:HGNC Symbol;Acc:HGNC:8794]	9.71951911788201e-06	2.74738145767156	0.525649112834267
SNX22	sorting nexin 22 [Source:HGNC Symbol;Acc:HGNC:16315]	9.71951911788201e-06	-2.67071950608246	-0.627733500731857
INPP5A	inositol polyphosphate-5-phosphatase A [Source:HGNC Symbol;Acc:HGNC:6076]	1.5245876519619e-05	2.84720647000248	0.394482842693041
ASTN2	astrotactin 2 [Source:HGNC Symbol;Acc:HGNC:17021]	1.5245876519619e-05	-2.02291364757128	-0.3960935521018
RNF216	ring finger protein 216 [Source:HGNC Symbol;Acc:HGNC:21698]	1.75759926983349e-05	2.55993525689236	0.314596779871986
HCN4	hyperpolarization activated cyclic nucleotide gated potassium channel 4 [Source:HGNC Symbol;Acc:HGNC:16882]	1.81237659233355e-05	-2.06522852548296	-0.485282837944681
LINC01844	long intergenic non-protein coding RNA 1844 [Source:HGNC Symbol;Acc:HGNC:52660]	1.81237659233355e-05	-2.26242771023943	-0.897013033120865
RCAN1	regulator of calcineurin 1 [Source:HGNC Symbol;Acc:HGNC:3040]	2.24744724691051e-05	2.68187304840499	0.453691001524499
RGS6	regulator of G protein signaling 6 [Source:HGNC Symbol;Acc:HGNC:10002]	2.24744724691051e-05	-2.54886271382391	-0.290178564845998
NT5DC2	5'-nucleotidase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25717]	2.27323086513073e-05	-2.10983877792278	-0.312004089879563
ETV4	ETS variant transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3493]	2.5796600843378e-05	2.48876998800641	0.57990290407354
LGR6	leucine rich repeat containing G protein-coupled receptor 6 [Source:HGNC Symbol;Acc:HGNC:19719]	2.76399695471512e-05	-2.63529762184859	-0.898875913967321
ODF2	outer dense fiber of sperm tails 2 [Source:HGNC Symbol;Acc:HGNC:8114]	2.76399695471512e-05	1.98766924254325	0.212201505103012
ASB18	ankyrin repeat and SOCS box containing 18 [Source:HGNC Symbol;Acc:HGNC:19770]	3.47873324443967e-05	3.59538251090111	0.916035368529147
DGKI	diacylglycerol kinase iota [Source:HGNC Symbol;Acc:HGNC:2855]	5.2122333536681e-05	2.10138786844668	0.676160190685427
AQP4	aquaporin 4 [Source:HGNC Symbol;Acc:HGNC:637]	5.21912871077722e-05	-2.95241542678778	-0.793986840122177
ETV5	ETS variant transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3494]	5.21912871077722e-05	2.72506118385612	0.401334229753825
CA14	carbonic anhydrase 14 [Source:HGNC Symbol;Acc:HGNC:1372]	5.21912871077722e-05	-2.91611501113086	-0.832430808692192
PPM1L	protein phosphatase, Mg2+/Mn2+ dependent 1L [Source:HGNC Symbol;Acc:HGNC:16381]	5.21912871077722e-05	-2.57912010502933	-0.339624219531969
ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	5.21912871077722e-05	2.61167385580441	0.350824849441444
NFIC	nuclear factor I C [Source:HGNC Symbol;Acc:HGNC:7786]	5.97091639859447e-05	-1.67467787249926	-0.119014818540304
GRIA1	glutamate ionotropic receptor AMPA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4571]	5.97091639859447e-05	1.76659758235268	0.632809807489882
KCNK3	potassium two pore domain channel subfamily K member 3 [Source:HGNC Symbol;Acc:HGNC:6278]	5.97091639859447e-05	1.7108473386988	0.162240933996956
CES2	carboxylesterase 2 [Source:HGNC Symbol;Acc:HGNC:1864]	5.97091639859447e-05	2.62579871742226	0.387653244845912
FGF1	fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]	6.12470254306604e-05	2.41327400031758	0.400426445602843
TMEM71	transmembrane protein 71 [Source:HGNC Symbol;Acc:HGNC:26572]	6.72331020195766e-05	2.48270725210544	0.652859551135651
MT3	metallothionein 3 [Source:HGNC Symbol;Acc:HGNC:7408]	6.72331020195766e-05	-1.73963033206928	-0.409958561094913
OXCT1	3-oxoacid CoA-transferase 1 [Source:HGNC Symbol;Acc:HGNC:8527]	6.72331020195766e-05	2.58564229500744	0.486570309294587
ACTA1	actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]	6.82634133792099e-05	0.775166669284758	0.426427513408745
VPS8	VPS8 subunit of CORVET complex [Source:HGNC Symbol;Acc:HGNC:29122]	6.82634133792099e-05	2.34729227494345	0.340392778100814
KCNN2	potassium calcium-activated channel subfamily N member 2 [Source:HGNC Symbol;Acc:HGNC:6291]	7.21404094167167e-05	-2.85801414728569	-0.517690693318507
FHL2	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]	8.72733587334424e-05	2.29049750452861	0.855081360098671
PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A [Source:HGNC Symbol;Acc:HGNC:9286]	8.74883943455198e-05	-1.65916569541256	-0.191929141639804
ASAH1	N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]	9.80484307570068e-05	2.05968075067504	0.262240120944117
CCNDBP1	cyclin D1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1587]	0.000106461531787809	2.18570395962832	0.294379818031736
CHADL	chondroadherin like [Source:HGNC Symbol;Acc:HGNC:25165]	0.00010670387561353	-2.27072507819293	-0.357494471976807
GJD2	gap junction protein delta 2 [Source:HGNC Symbol;Acc:HGNC:19154]	0.000116310727598228	-2.00447342042688	-0.882581675050485
GABRB3	gamma-aminobutyric acid type A receptor subunit beta3 [Source:HGNC Symbol;Acc:HGNC:4083]	0.000116310727598228	-2.07054974279256	-0.339588414075131
SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	0.000148509860124328	-2.47328430286908	-0.759185754191184
CALM3	calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]	0.000160912198200826	1.92086241321079	0.137055835894425
HOOK1	hook microtubule tethering protein 1 [Source:HGNC Symbol;Acc:HGNC:19884]	0.000163222458985111	-1.59358175762577	-0.0917590392987953
DLG2	discs large MAGUK scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:2901]	0.000194018613968238	-2.41590454902126	-0.275375542514692
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8 [Source:HGNC Symbol;Acc:HGNC:224]	0.000199334822860103	-1.45037384410559	-0.449208011656278
EHD3	EH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:3244]	0.000231719424158916	2.14031933351003	0.364033366008003
MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693]	0.000258239394551215	1.28126409333288	0.144379778583114
ASB14	ankyrin repeat and SOCS box containing 14 [Source:HGNC Symbol;Acc:HGNC:19766]	0.000286336511093174	0.16413948930305	0.0725205208782901
TLL2	tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:11844]	0.000288158590329409	-2.74123869843401	-0.577460800812124
FAM78B	family with sequence similarity 78 member B [Source:HGNC Symbol;Acc:HGNC:13495]	0.000288158590329409	-2.14110792560463	-0.440072619039713
TRIQK	triple QxxK/R motif containing [Source:HGNC Symbol;Acc:HGNC:27828]	0.000319445391089619	2.26512543732177	0.331136941743766
GNAO1	G protein subunit alpha o1 [Source:HGNC Symbol;Acc:HGNC:4389]	0.000358839793602464	-2.20420791895637	-0.263231457341419
MGAT4C	MGAT4 family member C [Source:HGNC Symbol;Acc:HGNC:30871]	0.000358839793602464	-2.04749873724101	-0.316085275580098
NPPB	natriuretic peptide B [Source:HGNC Symbol;Acc:HGNC:7940]	0.000408355601362399	2.73392393032154	2.03417917047425
MIDN	midnolin [Source:HGNC Symbol;Acc:HGNC:16298]	0.000450763775028016	-1.40209227841024	-0.216000233816514
MID1IP1	MID1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20715]	0.000450763775028016	-1.6402090362596	-0.250262815973125
LGI4	leucine rich repeat LGI family member 4 [Source:HGNC Symbol;Acc:HGNC:18712]	0.000505982571886335	-1.58988414467115	-0.0966420266715313
LINC02941	long intergenic non-protein coding RNA 2941 [Source:HGNC Symbol;Acc:HGNC:55956]	0.000505982571886335	-2.6620811667859	-0.735610374843618
CCDC141	coiled-coil domain containing 141 [Source:HGNC Symbol;Acc:HGNC:26821]	0.000745127368831229	2.3124270226681	0.46356350598448
CKAP4	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]	0.000752476022052103	1.44739092049235	0.121853493488076
LINC01018	long intergenic non-protein coding RNA 1018 [Source:HGNC Symbol;Acc:HGNC:27394]	0.00078328377776447	-2.23429997095341	-0.534790889374118
KDELR3	KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]	0.00081032622636837	2.06295969783239	0.349383117021026
AGK	acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]	0.00081032622636837	1.50445199689331	0.13636044025317
HIVEP3	HIVEP zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13561]	0.000874283119281806	-2.28048533266366	-0.287296216704239
OTOGL	otogelin like [Source:HGNC Symbol;Acc:HGNC:26901]	0.000874283119281806	-2.18126251844521	-0.625435279748441
YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:HGNC Symbol;Acc:HGNC:12854]	0.000874283119281806	2.33737014584839	0.395522045199665
LINC03002	long intergenic non-protein coding RNA 3002 [Source:HGNC Symbol;Acc:HGNC:56123]	0.00100903948854446	2.58742917809514	0.613881632781374
CDH2	cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]	0.00108628722309486	2.46109483696901	0.404782203342946
FRZB	frizzled related protein [Source:HGNC Symbol;Acc:HGNC:3959]	0.00108628722309486	2.27942518794691	0.45569620997947
CDON	cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17104]	0.00108856139564422	-2.33596140321313	-0.334093876675584
LDAF1	lipid droplet assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30136]	0.00108856139564422	2.3718383108565	0.582336794736917
MRO	maestro [Source:HGNC Symbol;Acc:HGNC:24121]	0.00108856139564422	-2.503717853117	-0.75020836805974
CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	0.00109528973344231	-2.24801928277358	-0.589027875721564
QSOX1	quiescin sulfhydryl oxidase 1 [Source:HGNC Symbol;Acc:HGNC:9756]	0.00109528973344231	-1.94974923485555	-0.239838704515096
