# Input,ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs
bmp7,11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid,C016780,64280-14-4,BMP7,655,Homo sapiens,9606,[Cannabinoids results in increased abundance of 11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid] which affects the methylation of BMP7 gene,affects^methylation|increases^abundance,30521419
bmp7,"1,25-dihydroxyvitamin D",C097949,66772-14-3,BMP7,655,Rattus norvegicus,10116,"1,25-dihydroxyvitamin D inhibits the reaction [Puromycin Aminonucleoside results in decreased expression of BMP7 mRNA]",decreases^expression|decreases^reaction,19594554
bmp7,"1,25-dihydroxyvitamin D",C097949,66772-14-3,BMP7,655,Rattus norvegicus,10116,"1,25-dihydroxyvitamin D inhibits the reaction [Puromycin Aminonucleoside results in decreased expression of BMP7 protein]",decreases^expression|decreases^reaction,19594554
bmp7,"1,2-Dimethylhydrazine",D019813,540-73-8,BMP7,655,Mus musculus,10090,"1,2-Dimethylhydrazine results in increased expression of BMP7 mRNA",increases^expression,22206623
bmp7,1-Methyl-3-isobutylxanthine,D015056,28822-58-4,BMP7,655,Mus musculus,10090,[BMP7 protein co-treated with INS1 protein co-treated with Triiodothyronine co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Indomethacin co-treated with Nicotine] affects the expression of CS mRNA,affects^cotreatment|affects^expression,33091441
bmp7,1-Methyl-3-isobutylxanthine,D015056,28822-58-4,BMP7,655,Mus musculus,10090,[BMP7 protein co-treated with INS1 protein co-treated with Triiodothyronine co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Indomethacin co-treated with Nicotine] affects the expression of HGF mRNA,affects^cotreatment|affects^expression,33091441
bmp7,1-Methyl-3-isobutylxanthine,D015056,28822-58-4,BMP7,655,Mus musculus,10090,[BMP7 protein co-treated with INS1 protein co-treated with Triiodothyronine co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Indomethacin co-treated with Nicotine] affects the expression of MMP2 mRNA,affects^cotreatment|affects^expression,33091441
bmp7,1-Methyl-3-isobutylxanthine,D015056,28822-58-4,BMP7,655,Mus musculus,10090,[BMP7 protein co-treated with INS1 protein co-treated with Triiodothyronine co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Indomethacin co-treated with Nicotine] affects the expression of PPARGC1A mRNA,affects^cotreatment|affects^expression,33091441
bmp7,1-Methyl-3-isobutylxanthine,D015056,28822-58-4,BMP7,655,Mus musculus,10090,[BMP7 protein co-treated with INS1 protein co-treated with Triiodothyronine co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Indomethacin co-treated with Nicotine] affects the expression of PPARGC1A protein,affects^cotreatment|affects^expression,33091441
bmp7,1-Methyl-3-isobutylxanthine,D015056,28822-58-4,BMP7,655,Mus musculus,10090,[BMP7 protein co-treated with INS1 protein co-treated with Triiodothyronine co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Indomethacin co-treated with Nicotine] affects the expression of PRDM16 mRNA,affects^cotreatment|affects^expression,33091441
bmp7,1-Methyl-3-isobutylxanthine,D015056,28822-58-4,BMP7,655,Mus musculus,10090,[BMP7 protein co-treated with INS1 protein co-treated with Triiodothyronine co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with Indomethacin co-treated with Nicotine] affects the expression of UCP1 mRNA,affects^cotreatment|affects^expression,33091441
