gene	description	fisher_pvalue	mean_t	mean_lfc
DHRS9	dehydrogenase/reductase 9 [Source:HGNC Symbol;Acc:HGNC:16888]	2.28005965050483e-06	4.28655517125992	0.941765396076436
CHGB	chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]	7.24554060915309e-06	2.80018277218974	0.782301816344701
GPR22	G protein-coupled receptor 22 [Source:HGNC Symbol;Acc:HGNC:4477]	7.24554060915309e-06	-4.01139172134246	-0.712404938970945
COLQ	collagen like tail subunit of asymmetric acetylcholinesterase [Source:HGNC Symbol;Acc:HGNC:2226]	8.40547567480469e-06	3.41620616154965	0.84768770347774
RPL3L	ribosomal protein L3 like [Source:HGNC Symbol;Acc:HGNC:10351]	8.40547567480469e-06	3.22952992157512	0.583984452962704
ANGPTL2	angiopoietin like 2 [Source:HGNC Symbol;Acc:HGNC:490]	8.695798206301e-06	3.09343187348735	0.471458158237708
HLF	HLF transcription factor, PAR bZIP family member [Source:HGNC Symbol;Acc:HGNC:4977]	8.695798206301e-06	-3.57820569529975	-0.497891975271058
RGS6	regulator of G protein signaling 6 [Source:HGNC Symbol;Acc:HGNC:10002]	8.695798206301e-06	-3.56193444227661	-0.396002958324017
SFRP5	secreted frizzled related protein 5 [Source:HGNC Symbol;Acc:HGNC:10779]	1.13751873999663e-05	-3.54531288344786	-0.888413362263314
GNAO1	G protein subunit alpha o1 [Source:HGNC Symbol;Acc:HGNC:4389]	1.13751873999663e-05	-3.16080851334587	-0.360174306812333
CHL1	cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939]	1.13751873999663e-05	-3.28479726416683	-0.535979622395719
COG5	component of oligomeric golgi complex 5 [Source:HGNC Symbol;Acc:HGNC:14857]	1.13751873999663e-05	-3.15778819764685	-0.506304801622148
NTRK2	neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]	1.13751873999663e-05	-2.9667879210391	-0.32188210947657
RCAN1	regulator of calcineurin 1 [Source:HGNC Symbol;Acc:HGNC:3040]	1.23866669980846e-05	2.22008044212696	0.278161960288096
NTM	neurotrimin [Source:HGNC Symbol;Acc:HGNC:17941]	1.26404091474679e-05	-3.64395697344642	-0.550874100241426
GRIP2	glutamate receptor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23841]	3.28568375913407e-05	3.09147183241441	0.544441471507274
ASTN2	astrotactin 2 [Source:HGNC Symbol;Acc:HGNC:17021]	4.3219475152518e-05	-2.64080404480175	-0.544737342571046
TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	4.82477284044809e-05	-2.97133789008202	-0.342340843820345
RNF216	ring finger protein 216 [Source:HGNC Symbol;Acc:HGNC:21698]	9.37080746794396e-05	2.56193904505467	0.411829834789623
QSOX1	quiescin sulfhydryl oxidase 1 [Source:HGNC Symbol;Acc:HGNC:9756]	0.000160846648470336	-2.84609223149515	-0.338276360166778
GABRB3	gamma-aminobutyric acid type A receptor subunit beta3 [Source:HGNC Symbol;Acc:HGNC:4083]	0.000187068325146187	-2.91773448503976	-0.41540570977076
VASH1	vasohibin 1 [Source:HGNC Symbol;Acc:HGNC:19964]	0.000221206169760476	3.20104167481702	0.590335103901158
DNAJA4	DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885]	0.000221206169760476	2.85419073863705	0.307588489285218
COL21A1	collagen type XXI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:17025]	0.000229266018509347	2.64607185001955	0.592286787169836
CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24290]	0.000229266018509347	-2.955677115588	-0.28862778096091
DPYSL4	dihydropyrimidinase like 4 [Source:HGNC Symbol;Acc:HGNC:3016]	0.000243661742360714	2.92922103324851	0.649349074678634
HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	0.000351936011996661	-2.89617090633095	-0.395786642715145
AQP4	aquaporin 4 [Source:HGNC Symbol;Acc:HGNC:637]	0.000353076721125117	-3.31779864109756	-0.729059807901731
LBH	LBH regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:29532]	0.000453579483671391	3.38427610584875	0.611730507525254
BMP7	bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]	0.000520720757953968	-2.23121480480099	-0.182299853544369
CES2	carboxylesterase 2 [Source:HGNC Symbol;Acc:HGNC:1864]	0.000520720757953968	2.21091366527378	0.343194703082083
FGF1	fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]	0.000520720757953968	2.44203888288791	0.320783661480089
ANO1	anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625]	0.000520720757953968	2.97542373749368	0.351568770595112
ATP1B4	ATPase Na+/K+ transporting family member beta 4 [Source:HGNC Symbol;Acc:HGNC:808]	0.000520720757953968	3.51550564898468	1.51517602302757
OXCT1	3-oxoacid CoA-transferase 1 [Source:HGNC Symbol;Acc:HGNC:8527]	0.000520720757953968	2.03711624626555	0.395333892623725
SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	0.000520720757953968	-2.76441033606031	-0.711237997574036
ART3	ADP-ribosyltransferase 3 (inactive) [Source:HGNC Symbol;Acc:HGNC:725]	0.000567260941079955	-2.92483138528282	-0.531344328635696
POPDC3	popeye domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17649]	0.000600885286923006	3.23561548019219	0.423831717898821
ODF2	outer dense fiber of sperm tails 2 [Source:HGNC Symbol;Acc:HGNC:8114]	0.000958063091833101	2.81478710931961	0.31675447409244
RBP1	retinol binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9919]	0.00115238478002978	-2.49079736281293	-0.347388613146561
G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	0.00122527650721869	-2.97523433582197	-0.92026728298052
CD81	CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]	0.00134724430095601	-0.600586705534953	0.59005138459995
IGFBP2	insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471]	0.00134724430095601	2.83210339387904	1.04936799492192
CYB561	cytochrome b561 [Source:HGNC Symbol;Acc:HGNC:2571]	0.00164829982818684	-2.83369955127935	-0.269512875119487
SLC1A3	solute carrier family 1 member 3 [Source:HGNC Symbol;Acc:HGNC:10941]	0.00220284769838019	-2.71277813332391	-0.475730658722628
ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	0.00235201772882936	-2.42336166566962	-0.80013231582797
MAX	MYC associated factor X [Source:HGNC Symbol;Acc:HGNC:6913]	0.00235201772882936	-1.6581985701767	-0.0635445108137002
MTCL1	microtubule crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:29121]	0.00235201772882936	2.7100426776547	0.551538082016316
PTDSS1	phosphatidylserine synthase 1 [Source:HGNC Symbol;Acc:HGNC:9587]	0.00240969399464869	-2.80402563604834	-0.68787957426765
TGFBR3	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]	0.00240969399464869	-2.87075573529621	-0.378481194898984
LRRC49	leucine rich repeat containing 49 [Source:HGNC Symbol;Acc:HGNC:25965]	0.00240969399464869	-2.23341383056531	-0.493547394145206
SH2B3	SH2B adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:29605]	0.00240969399464869	1.74196360779266	0.170504050888716
CAPRIN1	cell cycle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6743]	0.00277560192439829	0.114941198864778	-0.00238863707804021
FZD1	frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]	0.00306126697512743	-2.59087243491866	-0.206550851013189
SOSTDC1	sclerostin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21748]	0.00306126697512743	-2.86336397068345	-1.12576397005962
CYBRD1	cytochrome b reductase 1 [Source:HGNC Symbol;Acc:HGNC:20797]	0.00324429120550258	-2.39050928356141	-0.34674712182266
NR2F1	nuclear receptor subfamily 2 group F member 1 [Source:HGNC Symbol;Acc:HGNC:7975]	0.00346164220363905	-2.28565153352388	-0.255442871991936
PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A [Source:HGNC Symbol;Acc:HGNC:9286]	0.00346164220363905	-2.51626873187519	-0.63881548139333
ZMIZ1	zinc finger MIZ-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16493]	0.00346164220363905	-1.97268082954148	-0.209250264860155
CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	0.00417188820933969	-2.6835617750111	-0.652353577402096
BNIP3	BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]	0.00458211478313077	1.58325710207391	0.0325407260515625
MARCHF3	membrane associated ring-CH-type finger 3 [Source:HGNC Symbol;Acc:HGNC:28728]	0.00523844989832265	2.22306302514506	0.274913690310046
NRXN1	neurexin 1 [Source:HGNC Symbol;Acc:HGNC:8008]	0.00523844989832265	-2.1674571795329	-0.204706045888988
STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	0.00523844989832265	2.41130811360081	0.223560818428736
USP46	ubiquitin specific peptidase 46 [Source:HGNC Symbol;Acc:HGNC:20075]	0.00523844989832265	2.21654152593343	0.237093790550613
XYLT1	xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15516]	0.00523844989832265	2.31104460470788	0.447766629889329
ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	0.00537536905197284	2.3513743129842	0.270739696929561
TMEM38B	transmembrane protein 38B [Source:HGNC Symbol;Acc:HGNC:25535]	0.00550540768218407	-1.99219845845725	-0.257547635954666
KLC2	kinesin light chain 2 [Source:HGNC Symbol;Acc:HGNC:20716]	0.00550540768218407	1.83588925846996	0.11363234222673
RASL12	RAS like family 12 [Source:HGNC Symbol;Acc:HGNC:30289]	0.00551232117780904	-2.5203728801959	-0.307180589463682
MCOLN3	mucolipin TRP cation channel 3 [Source:HGNC Symbol;Acc:HGNC:13358]	0.00725850522866363	-2.34186261826639	-0.6650977146948
ADD3	adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]	0.00725850522866363	-2.30488099140097	-0.32387132062269
FGF7	fibroblast growth factor 7 [Source:HGNC Symbol;Acc:HGNC:3685]	0.00725850522866363	-2.20478907688729	-0.39072039908247
MTUS2	microtubule associated scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:20595]	0.00725850522866363	-2.56401243441908	-0.627373447825543
ATP6V1D	ATPase H+ transporting V1 subunit D [Source:HGNC Symbol;Acc:HGNC:13527]	0.00725850522866363	1.77204620051887	0.0694956526157382
SLC6A6	solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]	0.00725850522866363	2.18212248844224	0.51001934462413
IL6R	interleukin 6 receptor [Source:HGNC Symbol;Acc:HGNC:6019]	0.00725850522866363	-2.64278583437764	-0.325524107355607
TSPAN7	tetraspanin 7 [Source:HGNC Symbol;Acc:HGNC:11854]	0.00725850522866363	-2.40431782971549	-0.481723916811723
GSE1	Gse1 coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:28979]	0.00725850522866363	-2.23246020440115	-0.196562255382551
BLM	BLM RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:1058]	0.00753548024740437	-2.5437467168857	-0.495138258631567
HSPA2	heat shock protein family A (Hsp70) member 2 [Source:HGNC Symbol;Acc:HGNC:5235]	0.00794107304285868	1.43853348304313	0.352757572381751
TULP3	TUB like protein 3 [Source:HGNC Symbol;Acc:HGNC:12425]	0.00894442961351259	-2.22602353127519	-0.216608760391299
FASTKD5	FAST kinase domains 5 [Source:HGNC Symbol;Acc:HGNC:25790]	0.00900868628666493	0.262903748697713	-0.0548739208845401
COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	0.00998483508543633	2.74948260005273	1.55950615686728
PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor [Source:HGNC Symbol;Acc:HGNC:17301]	0.00998746161182892	2.43196810235205	0.994076170266129
CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]	0.00998746161182892	-2.19158638207095	-0.435862480942736
NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:14526]	0.0123082736525268	-2.71568792433452	-0.406915059431428
SELENBP1	selenium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10719]	0.0123082736525268	-1.91789135231951	-0.394160486074842
CTNND2	catenin delta 2 [Source:HGNC Symbol;Acc:HGNC:2516]	0.0132277511380949	2.40203879422492	0.46167456120837
CSRP3	cysteine and glycine rich protein 3 [Source:HGNC Symbol;Acc:HGNC:2472]	0.0132277511380949	2.03655976908186	0.117368208882158
ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	0.0132277511380949	-1.94235075530575	-0.124643453746568
COQ2	coenzyme Q2, polyprenyltransferase [Source:HGNC Symbol;Acc:HGNC:25223]	0.0139029807116098	0.670724040306871	-0.0404271030467991
TNNT1	troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]	0.0147639828110398	0.871037844013285	0.27504059012278
KIF3B	kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]	0.0150514529018949	0.837950437477861	0.026738387274332
CEL	carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]	0.0151356244781623	-1.29811964175995	-0.275902104621226
AR	androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]	0.0154254542545599	-1.99626236425688	-0.288935024887201
MFAP4	microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]	0.0158514015648659	-2.26459655719846	-0.365460489465143
SLC12A2	solute carrier family 12 member 2 [Source:HGNC Symbol;Acc:HGNC:10911]	0.0168956916214293	1.72108943909044	0.138385664931171
C6	complement C6 [Source:HGNC Symbol;Acc:HGNC:1339]	0.0168956916214293	-2.34076812355354	-0.676195825619992
LMO4	LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]	0.0168956916214293	-2.3941702528356	-0.293426367494308
LGR6	leucine rich repeat containing G protein-coupled receptor 6 [Source:HGNC Symbol;Acc:HGNC:19719]	0.0172752515419201	-2.87388145007104	-1.1260462778769
ME2	malic enzyme 2 [Source:HGNC Symbol;Acc:HGNC:6984]	0.0173398731507561	-2.09680976025769	-0.196440387407256
C1orf105	chromosome 1 open reading frame 105 [Source:HGNC Symbol;Acc:HGNC:29591]	0.0176154571632816	-2.61221415543653	-0.711731604095966
CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	0.0182811943755272	-1.5517565856679	-0.0406735628688915
CYFIP2	cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]	0.0202810181587781	-2.0126236682838	-0.161759239912939
CACNB2	calcium voltage-gated channel auxiliary subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:1402]	0.0202810181587781	-2.45732773435988	-0.344523548479417
F2R	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	0.0202810181587781	1.74763880504047	0.238726606256138
LPAR1	lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]	0.0202810181587781	-2.10416820740714	-0.142457351183456
HOMER3	homer scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:17514]	0.0203402100015613	2.17789222916946	0.262384528494708
PTER	phosphotriesterase related [Source:HGNC Symbol;Acc:HGNC:9590]	0.0203402100015613	-2.53928744225519	-0.552342731764171
TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	0.0203402100015613	-1.92201601994236	-0.267111378164929
HOOK2	hook microtubule tethering protein 2 [Source:HGNC Symbol;Acc:HGNC:19885]	0.0203402100015613	1.53858258953054	0.236842718442919
PPP1R12C	protein phosphatase 1 regulatory subunit 12C [Source:HGNC Symbol;Acc:HGNC:14947]	0.0203402100015613	1.34839777087601	0.0659787356866533
PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	0.0203727197252548	-2.44250533671347	-0.717315619021392
RBFOX1	RNA binding fox-1 homolog 1 [Source:HGNC Symbol;Acc:HGNC:18222]	0.0204732825445555	-2.5269678007329	-0.348391488168422
STXBP6	syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]	0.0218225791070979	-2.14582502209599	-0.250258751531837
PLP1	proteolipid protein 1 [Source:HGNC Symbol;Acc:HGNC:9086]	0.0221429297472262	-2.1841421727632	-0.492862292460159
VDAC1	voltage dependent anion channel 1 [Source:HGNC Symbol;Acc:HGNC:12669]	0.0231630257164796	1.77084355247443	0.128747047266176
HUS1	HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]	0.0232161564846036	2.33100331308943	0.104085213270378
PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9388]	0.0232359002218073	2.09837932868038	0.243994816880516
KDELR3	KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]	0.0243463647489755	2.2010897470954	0.289823935601181
AMIGO2	adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]	0.0243463647489755	-1.92943369944291	-0.30683642762002
CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	0.0243463647489755	2.02062945545343	0.165712044553586
KCND3	potassium voltage-gated channel subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:6239]	0.0243463647489755	-2.2248239511819	-0.423872241803994
ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	0.0264070058178063	-2.27738819018279	-0.696490820555879
CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2 [Source:HGNC Symbol;Acc:HGNC:103]	0.0266699613878902	2.12561061460824	0.196078108461034
DDR1	discoidin domain receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:2730]	0.0267129358626857	-1.97292243355126	-0.17701538841987
